Date,Open,High,Low,Close,Adj Close,Volume
1981-11-11,345.429993,349.700012,343.829987,348.079987,348.079987,41920000
1981-11-12,349.329987,353.339996,346.730011,349.730011,349.730011,55720000
1981-11-13,349.459991,351.429993,344.859985,346.670013,346.670013,45550000
1981-11-16,345.040009,346.130005,339.010010,341.450012,341.450012,43740000
1981-11-17,341.470001,344.570007,339.440002,342.420013,342.420013,43190000
1981-11-18,342.170013,345.109985,338.679993,341.200012,341.200012,49980000
1981-11-19,340.750000,343.500000,337.359985,340.690002,340.690002,48890000
1981-11-20,340.899994,346.109985,339.209991,343.890015,343.890015,52010000
1981-11-23,343.769989,346.829987,341.609985,343.730011,343.730011,45250000
1981-11-24,343.790009,350.179993,342.329987,348.820007,348.820007,53200000
1981-11-25,350.510010,353.769989,348.160004,351.309998,351.309998,58570000
1981-11-27,351.660004,356.690002,350.480011,354.709991,354.709991,32770000
1981-11-30,355.209991,358.899994,352.230011,357.359985,357.359985,47580000
1981-12-01,356.720001,360.230011,354.000000,357.630005,357.630005,53980000
1981-12-02,356.920013,358.609985,352.989990,354.290009,354.290009,44510000
1981-12-03,353.149994,356.420013,351.320007,354.570007,354.570007,43770000
1981-12-04,357.250000,360.369995,354.910004,357.730011,357.730011,55040000
1981-12-07,357.750000,359.459991,353.959991,355.559998,355.559998,45720000
1981-12-08,354.809998,357.190002,351.649994,354.510010,354.510010,45140000
1981-12-09,354.260010,357.980011,352.619995,356.230011,356.230011,44810000
1981-12-10,356.899994,359.559998,354.309998,357.309998,357.309998,47020000
1981-12-11,357.019989,358.950012,353.570007,354.829987,354.829987,45850000
1981-12-14,351.609985,353.130005,347.239990,348.890015,348.890015,44740000
1981-12-15,348.709991,351.850006,346.720001,349.619995,349.619995,44130000
1981-12-16,349.779999,351.279999,346.070007,347.709991,347.709991,42770000
1981-12-17,347.809998,350.769989,345.890015,349.089996,349.089996,47230000
1981-12-18,349.500000,353.369995,347.690002,351.380005,351.380005,50940000
1981-12-21,351.459991,353.000000,347.959991,349.500000,349.500000,41290000
1981-12-22,349.339996,351.799988,346.459991,348.160004,348.160004,48320000
1981-12-23,348.119995,350.200012,344.959991,347.040009,347.040009,42910000
